JAN,APRIL,JUL,OCT
7111.185,6727.069167,8384.78,7076.015
6757.885833,6400.778333,8007.079167,6754.415833
6434.2475,6209.060833,7664.8875,6493.1425
6279.9925,6284.3675,7455.413333,6215.793333
6245.920833,6582.611667,7624.333333,6253.0975
6024.965833,7322.9175,8155.145,6544.186667
5697.190833,7916.280833,9359.978333,6795.285
5404.4875,7525.6375,10547.665,6654.998333
4832.518333,6855.145833,10768.32083,5879.560833
4610.829167,6418.243333,10755.31,5125.166667
4962.343333,5903.979167,10805.62333,4595.773333
5138.959167,6084.125,10889.71417,4490.395833
5219.439167,6147.398333,11024.19417,4314.994167
5731.5425,6301.071667,11228.97917,4574.908333
6561.236667,6516.9725,11302.0625,5181.458333
7466.1375,7131.26,11631.61,6207.2025
8480.825833,7837.124167,12351.45083,7457.6975
9211.665,8351.215,12978.915,8422.465833
9364.093333,8460.0675,12841.34583,8700.973333
9027.905,8179.693333,12268.1675,8401.589167
8641.0125,7778.330833,11601.14583,8143.004167
8233.804167,7533.479167,10632.30083,7837.085833
7796.466667,7335.0975,9750.5925,7541.53
7386.5275,7112.36,9071.075,7305.6425
